REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023
4,9,6,0,California,California,38596972,38918045,39167117,39358497,39461588,39512223,39503200,39145060,39040616,38965193
4,9,6,1,California,Alameda County,1607792,1634538,1650950,1660196,1666756,1671329,1680466,1644047,1628259,1622188
4,9,6,3,California,Alpine County,1080,1077,1047,1111,1089,1129,1205,1229,1190,1141
4,9,6,5,California,Amador County,36726,37031,37429,38529,39405,39752,40525,41228,41493,41811
4,9,6,7,California,Butte County,223516,224631,226231,228696,230339,219186,210151,206336,207369,207172
4,9,6,9,California,Calaveras County,44671,44965,45322,45681,45698,45905,45348,46249,46556,46565
4,9,6,11,California,Colusa County,21176,21231,21496,21579,21418,21547,21864,21919,21909,22037
4,9,6,13,California,Contra Costa County,1108876,1124405,1137268,1145535,1150519,1153526,1166069,1163941,1157019,1155025
4,9,6,15,California,Del Norte County,27175,27190,27382,27351,27740,27812,27604,27584,27112,26589
4,9,6,17,California,El Dorado County,183108,184569,185976,188679,190746,192843,191245,193704,192787,192215
4,9,6,19,California,Fresno County,960567,969488,976830,985238,991950,999101,1009552,1013103,1015359,1017162
4,9,6,21,California,Glenn County,27831,27753,27840,27926,27967,28393,28904,28718,28360,28129
4,9,6,23,California,Humboldt County,134494,135102,136290,136507,136244,135558,136262,134897,134944,133985
4,9,6,25,California,Imperial County,177974,178937,180179,181649,181523,181215,179612,179138,178940,179057
4,9,6,27,California,Inyo County,18292,18108,17922,17868,17946,18039,18987,18924,18742,18527
4,9,6,29,California,Kern County,869176,876031,880856,887356,893758,900202,905910,912709,916751,913820
4,9,6,31,California,Kings County,149495,150085,149382,149665,151382,152940,152844,152775,152987,152682
4,9,6,33,California,Lake County,64044,64260,63903,64111,64317,64386,68199,68645,68172,67878
4,9,6,35,California,Lassen County,31664,31256,30721,30920,30618,30573,32315,31885,30020,28861
4,9,6,37,California,Los Angeles County,10040072,10085416,10105708,10103711,10073906,10039107,9992813,9809462,9719765,9663345
4,9,6,39,California,Madera County,153456,153576,153956,155423,156882,157327,156345,158966,160329,162858
4,9,6,41,California,Marin County,260359,260916,260562,259749,259662,258826,261306,259278,256154,254407
4,9,6,43,California,Mariposa County,17714,17622,17456,17414,17405,17203,17119,17127,17053,16919
4,9,6,45,California,Mendocino County,87225,87107,87285,87576,87401,86749,91367,91321,90007,89108
4,9,6,47,California,Merced County,264419,266353,267628,271096,274151,277680,281830,284610,290210,291920
4,9,6,49,California,Modoc County,9068,9056,8961,8876,8800,8841,8681,8641,8619,8500
4,9,6,51,California,Mono County,14134,14077,14273,14354,14403,14444,13228,13271,13002,13066
4,9,6,53,California,Monterey County,428475,430552,433953,434534,433950,434061,438322,437158,432884,430723
4,9,6,55,California,Napa County,140405,140862,140840,139878,138789,137744,137459,136265,134370,133216
4,9,6,57,California,Nevada County,98572,98676,98913,99367,99508,99755,102265,103517,102401,102037
4,9,6,59,California,Orange County,3126537,3149280,3164986,3174289,3175973,3175692,3185734,3160611,3150372,3135755
4,9,6,61,California,Placer County,369217,372841,378943,385115,392330,398329,405927,413047,418074,423561
4,9,6,63,California,Plumas County,18622,18427,18665,18660,18741,18807,19746,19958,19443,19131
4,9,6,65,California,Riverside County,2316162,2345816,2380081,2414964,2445789,2470546,2422993,2453399,2474241,2492442
4,9,6,67,California,Sacramento County,1474917,1493674,1510987,1527301,1538746,1552058,1586566,1588810,1584380,1584288
4,9,6,69,California,San Benito County,57825,58216,59225,60164,61467,62808,64530,66709,67643,68175
4,9,6,71,California,San Bernardino County,2099181,2115411,2131960,2150945,2166753,2180085,2183391,2193087,2194908,2195611
4,9,6,73,California,San Diego County,3248877,3280850,3306089,3321237,3333861,3338330,3295298,3274432,3277176,3269973
4,9,6,75,California,San Francisco County,850750,863010,871512,878040,880696,881549,870518,811935,807774,808988
4,9,6,77,California,San Joaquin County,711579,722271,732809,743296,752491,762148,780617,788354,794293,800965
4,9,6,79,California,San Luis Obispo County,278227,280077,281803,282481,283354,283111,281884,279464,282046,281639
4,9,6,81,California,San Mateo County,757204,765055,767906,768901,768681,766573,762479,739149,728929,726353
4,9,6,83,California,Santa Barbara County,439045,442229,444340,445298,445780,446499,448424,437521,443915,441257
4,9,6,85,California,Santa Clara County,1891753,1916285,1928368,1932510,1932337,1927852,1931168,1885173,1878335,1877592
4,9,6,87,California,Santa Cruz County,270861,273503,274396,274856,273841,273213,270474,260475,264240,261547
4,9,6,89,California,Shasta County,178844,178314,178571,179384,179709,180080,182002,182135,180937,180366
4,9,6,91,California,Sierra County,2972,2985,2951,3002,2997,3005,3225,3294,3222,3200
4,9,6,93,California,Siskiyou County,43338,43254,43376,43622,43550,43539,43995,44139,43786,42905
4,9,6,95,California,Solano County,429006,433409,438858,443511,445725,447643,452723,450653,448885,449218
4,9,6,97,California,Sonoma County,498560,500863,502547,502469,498643,494336,488282,484519,482669,481812
4,9,6,99,California,Stanislaus County,528015,533211,539255,544717,548126,550660,553257,552723,551226,551430
4,9,6,101,California,Sutter County,94778,95282,95742,96204,96348,96971,99479,99152,98569,97948
4,9,6,103,California,Tehama County,62801,63158,63453,63847,64018,65084,65687,65446,65299,64896
4,9,6,105,California,Trinity County,13128,13094,12828,12726,12567,12285,16091,16082,15778,15670
4,9,6,107,California,Tulare County,455138,457161,459235,462308,464589,466195,473914,477176,477884,479468
4,9,6,109,California,Tuolumne County,53851,53615,53770,53976,54387,54478,55379,55131,54587,54204
4,9,6,111,California,Ventura County,842297,845802,847323,849044,848142,846006,843371,839471,832871,829590
4,9,6,113,California,Yolo County,208398,212037,215627,218477,220118,220500,216291,213141,222018,220544
4,9,6,115,California,Yuba County,73533,74045,74952,76578,77557,78668,81958,83227,84353,85722